# 横轴数据,元数据,平滑后数据,基线,扣除基线后数据
1.468343000000000131e+02,3.826970000000000027e+01,3.827008086629558647e+01,3.793460322532882856e+01,3.354776409667579173e-01
1.487627999999999986e+02,3.933285999999999660e+01,3.807468056227466491e+01,3.787286470211020628e+01,2.018158601644586270e-01
1.506913000000000125e+02,3.959987000000000279e+01,3.789542357960059604e+01,3.780910267965623461e+01,8.632089994436142888e-02
1.526196999999999946e+02,3.837008999999999759e+01,3.773960608368690117e+01,3.774447320160255970e+01,-4.867117915658525362e-03
1.545482000000000085e+02,3.698033999999999821e+01,3.775085939522661960e+01,3.767989271984541944e+01,7.096667538120016161e-02
1.564766999999999939e+02,3.672570000000000334e+01,3.768480077149337149e+01,3.761459940146010439e+01,7.020137003326709646e-02
1.584051000000000045e+02,3.690966000000000236e+01,3.746562221641001145e+01,3.754860114310299224e+01,-8.297892669298079227e-02
1.603335999999999899e+02,3.699465000000000003e+01,3.722423188623676538e+01,3.748343899328287421e+01,-2.592071070461088311e-01
1.622621000000000038e+02,3.674591999999999814e+01,3.713557130107820825e+01,3.742089921999032498e+01,-2.853279189121167292e-01
1.641904999999999859e+02,3.663069999999999737e+01,3.700988346518413152e+01,3.736124747350775266e+01,-3.513640083236211353e-01
1.661189999999999998e+02,3.734237000000000251e+01,3.683395603138223606e+01,3.730515746922593934e+01,-4.712014378437032747e-01
1.680475000000000136e+02,3.733773000000000053e+01,3.674349395227142168e+01,3.725385755893157125e+01,-5.103636066601495713e-01
1.699758999999999958e+02,3.702635000000000076e+01,3.679357340634138041e+01,3.720775076907690959e+01,-4.141773627355291865e-01
1.719044000000000096e+02,3.758959000000000117e+01,3.697160241255255642e+01,3.716584886592210069e+01,-1.942464533695442697e-01
1.738328999999999951e+02,3.638994999999999891e+01,3.716420782608638262e+01,3.712590883124052255e+01,3.829899484586007929e-02
1.757613000000000056e+02,3.654120999999999952e+01,3.725795632886506326e+01,3.708558407717865180e+01,1.723722516864114596e-01
1.776897999999999911e+02,3.743081999999999709e+01,3.729540680941426700e+01,3.704353302414288862e+01,2.518737852713783809e-01
1.796183000000000050e+02,3.771573999999999671e+01,3.732932184373920848e+01,3.700148197110713255e+01,3.278398726320759238e-01
1.815466999999999871e+02,3.637720000000000198e+01,3.737667306963002289e+01,3.695943091807136938e+01,4.172421515586535179e-01
1.834752000000000010e+02,3.784002000000000265e+01,3.736598825759995179e+01,3.691737986503561331e+01,4.486083925643384873e-01
1.854036999999999864e+02,3.804068000000000183e+01,3.735669884602754109e+01,3.687532881199985013e+01,4.813700340276909628e-01
1.873320999999999970e+02,3.786475000000000080e+01,3.743037011441590067e+01,3.683327775896408696e+01,5.970923554518137166e-01
1.892606000000000108e+02,3.786341000000000179e+01,3.751987739784185294e+01,3.679122670592833089e+01,7.286506919135220528e-01
1.911890999999999963e+02,3.754023999999999717e+01,3.757081207257215993e+01,3.674917565289256771e+01,8.216364196795922226e-01
1.931175000000000068e+02,3.691528000000000276e+01,3.766667748283695261e+01,3.670712459985680454e+01,9.595528829801480697e-01
1.950459999999999923e+02,3.700751999999999953e+01,3.761513202026748104e+01,3.666507354682104136e+01,9.500584734464396774e-01
1.969745000000000061e+02,3.737223000000000184e+01,3.749500201372940467e+01,3.662302249378527819e+01,8.719795199441264799e-01
1.989028999999999883e+02,3.753076999999999686e+01,3.741938922196738559e+01,3.658097144074952212e+01,8.384177812178634781e-01
2.008314000000000021e+02,3.739994999999999692e+01,3.739809356325539369e+01,3.653892038771376605e+01,8.591731755416276428e-01
2.027598999999999876e+02,3.795721000000000345e+01,3.727575435109455526e+01,3.649686933467800998e+01,7.788850164165452838e-01
2.046882999999999981e+02,3.778540999999999883e+01,3.721501464857740160e+01,3.645481828164225391e+01,7.601963669351476938e-01
2.066168000000000120e+02,3.724535999999999802e+01,3.716215915004846693e+01,3.641276722860650494e+01,7.493919214419619834e-01
2.085452999999999975e+02,3.686099999999999710e+01,3.711503265446167177e+01,3.637071617557075598e+01,7.443164788909157892e-01
2.104737000000000080e+02,3.674387999999999721e+01,3.705325241909064005e+01,3.632866512253500701e+01,7.245872965556330314e-01
2.124021999999999935e+02,3.629805000000000348e+01,3.694249917293176111e+01,3.628661406949925805e+01,6.558851034325030582e-01
2.143307000000000073e+02,3.659526999999999930e+01,3.674210881333712564e+01,3.624456301646350909e+01,4.975457968736165526e-01
2.162590999999999894e+02,3.709664999999999679e+01,3.654621852893045997e+01,3.620251196342776012e+01,3.437065655026998456e-01
2.181876000000000033e+02,3.713474999999999682e+01,3.645822011441591570e+01,3.615702207583373706e+01,3.011980385821786399e-01
2.201160999999999888e+02,3.660851000000000255e+01,3.651085810395498044e+01,3.610851503219290493e+01,4.023430717620755104e-01
2.220444999999999993e+02,3.615775000000000006e+01,3.652652333769149351e+01,3.606000798855207279e+01,4.665153491394207208e-01
2.239730000000000132e+02,3.623311999999999955e+01,3.659526621117956324e+01,3.601150094491124065e+01,5.837652662683225913e-01
2.259014999999999986e+02,3.627069999999999794e+01,3.668160546256890342e+01,3.596299390127040851e+01,7.186115612984949053e-01
2.278299000000000092e+02,3.598879999999999768e+01,3.671892287348750017e+01,3.591448685762958348e+01,8.044360158579166864e-01
2.297583999999999946e+02,3.618189999999999884e+01,3.669382618175818322e+01,3.586597981398875845e+01,8.278463677694247735e-01
2.316869000000000085e+02,3.668556999999999846e+01,3.656151760706056564e+01,3.581747277034792631e+01,7.440448367126393237e-01
2.336152999999999906e+02,3.759038999999999930e+01,3.653811323635118669e+01,3.576896572670709418e+01,7.691475096440925086e-01
2.355438000000000045e+02,3.810114999999999696e+01,3.657669954560257253e+01,3.572045868306626204e+01,8.562408625363104875e-01
2.374722999999999900e+02,3.750842999999999705e+01,3.650698179797262810e+01,3.567195163942542990e+01,8.350301585471981980e-01
2.394007000000000005e+02,3.584920999999999935e+01,3.653403610330117601e+01,3.562344459578460487e+01,9.105915075165711414e-01
2.413291999999999859e+02,3.607704999999999984e+01,3.653256549199029024e+01,3.557493755214377984e+01,9.576279398465104009e-01
2.432576999999999998e+02,3.594151000000000096e+01,3.654646633213412343e+01,3.552643050850295481e+01,1.020035823631168626e+00
2.451861000000000104e+02,3.564079000000000264e+01,3.659887139588044391e+01,3.547792346486212978e+01,1.120947931018314137e+00
2.471145999999999958e+02,3.577270000000000039e+01,3.662343122262120687e+01,3.542941642122129764e+01,1.194014801399909231e+00
2.490431000000000097e+02,3.623098000000000241e+01,3.653880341287946720e+01,3.538090937758047261e+01,1.157894035298994595e+00
2.509714999999999918e+02,3.800421000000000049e+01,3.638783167701807031e+01,3.533240233393964758e+01,1.055429343078422733e+00
2.529000000000000057e+02,3.632401999999999731e+01,3.620925902255584106e+01,3.528389529029882254e+01,9.253637322570185120e-01
2.548284999999999911e+02,3.537539999999999907e+01,3.609846351748882398e+01,3.523538824665800462e+01,8.630752708308193633e-01
2.567568999999999733e+02,3.747404000000000224e+01,3.611982806472648377e+01,3.518688120301717959e+01,9.329468617093041871e-01
2.586854000000000156e+02,3.673078000000000287e+01,3.625217300424920097e+01,3.513837415937635456e+01,1.113798844872846416e+00
2.606139000000000010e+02,3.690870999999999924e+01,3.628599161490627267e+01,3.508986711573552242e+01,1.196124499170750255e+00
2.625423000000000116e+02,3.619178000000000139e+01,3.625204045439630107e+01,3.504136007209469028e+01,1.210680382301610791e+00
2.644707999999999970e+02,3.519122999999999735e+01,3.619393237659310358e+01,3.499285302845385814e+01,1.201079348139245440e+00
2.663992999999999824e+02,3.480944000000000216e+01,3.618969864007789994e+01,3.494434598481302601e+01,1.245352655264873931e+00
2.683276999999999930e+02,3.524121999999999844e+01,3.624566229486704572e+01,3.489583894117219387e+01,1.349823353694851846e+00
2.702561999999999784e+02,3.580899000000000143e+01,3.618052594638714936e+01,3.484733189753136173e+01,1.333194048855787628e+00
2.721847000000000207e+02,3.667396999999999707e+01,3.617053566524953112e+01,3.479882485389052960e+01,1.371710811359001525e+00
2.741130999999999744e+02,3.732128999999999763e+01,3.606662308924429539e+01,3.475031781024970456e+01,1.316305278994590822e+00
2.760416000000000167e+02,3.714965000000000117e+01,3.592924845374250253e+01,3.470181076660887243e+01,1.227437687133630106e+00
2.779701000000000022e+02,3.583970999999999663e+01,3.596428989865913906e+01,3.465330372296804029e+01,1.310986175691098765e+00
2.798985000000000127e+02,3.548552999999999713e+01,3.594635267734498996e+01,3.460479667932720815e+01,1.341555998017781803e+00
2.818269999999999982e+02,3.641190000000000282e+01,3.597001970251660907e+01,3.455628963568637602e+01,1.413730066830233056e+00
2.837554999999999836e+02,3.666071999999999775e+01,3.591800454069902315e+01,3.450778259204555098e+01,1.410221948653472168e+00
2.856838999999999942e+02,3.527454000000000178e+01,3.567854554429496972e+01,3.445927554840471885e+01,1.219269995890250868e+00
2.876123999999999796e+02,3.345913000000000181e+01,3.526806262830936589e+01,3.441076850476389382e+01,8.572941235454720754e-01
2.895409000000000219e+02,3.451527000000000100e+01,3.489187993134957821e+01,3.436226146112306168e+01,5.296184702265165356e-01
2.914692999999999756e+02,3.557117999999999824e+01,3.461720720169937238e+01,3.431375441748222954e+01,3.034527842171428347e-01
2.933978000000000179e+02,3.559929000000000343e+01,3.450274014383732890e+01,3.426524737384139740e+01,2.374927699959314964e-01
2.953263000000000034e+02,3.475455999999999790e+01,3.453281982674023709e+01,3.421436511846166439e+01,3.184547082785726957e-01
2.972547000000000139e+02,3.408041000000000054e+01,3.458453924485073117e+01,3.416348286308193138e+01,4.210563817687997812e-01
2.991831999999999994e+02,3.392454000000000036e+01,3.441175124877358371e+01,3.411260060770219837e+01,2.991506410713853370e-01
3.011116999999999848e+02,3.317553000000000196e+01,3.421281406341888953e+01,3.406171835232246536e+01,1.510957110964241679e-01
3.030400999999999954e+02,3.294796000000000191e+01,3.412233877737770626e+01,3.400932379933122718e+01,1.130149780464790865e-01
3.049685999999999808e+02,3.387165000000000248e+01,3.407523037267029054e+01,3.395579743033065512e+01,1.194329423396354173e-01
3.068971000000000231e+02,3.553027999999999764e+01,3.391750115724040882e+01,3.390107549923905594e+01,1.642565800135287191e-02
3.088254999999999768e+02,3.557088999999999857e+01,3.367783526642642045e+01,3.384618877514084545e+01,-1.683535087144250042e-01
3.107540000000000191e+02,3.489947000000000088e+01,3.353472875776346029e+01,3.379299824732485291e+01,-2.582694895613926178e-01
3.126825000000000045e+02,3.364730000000000132e+01,3.354165016998967275e+01,3.374241500813926820e+01,-2.007648381495954482e-01
3.146109000000000151e+02,3.226319000000000159e+01,3.359547620137248458e+01,3.369385544081805506e+01,-9.837923944557047662e-02
3.165394000000000005e+02,3.159929999999999950e+01,3.358718830009755862e+01,3.364628496634701804e+01,-5.909666624945941749e-02
3.184678999999999860e+02,3.331298999999999921e+01,3.362615211180072805e+01,3.359930803167608104e+01,2.684408012464700732e-02
3.203962999999999965e+02,3.341658000000000328e+01,3.372025447204917015e+01,3.355206205874393532e+01,1.681924133052348225e-01
3.223247999999999820e+02,3.314609999999999701e+01,3.372552052304622805e+01,3.350481608581178961e+01,2.207044372344384442e-01
3.242533000000000243e+02,3.354023000000000110e+01,3.364467707420674003e+01,3.345757011287964389e+01,1.871069613270961440e-01
3.261816999999999780e+02,3.462736000000000303e+01,3.357774263157843109e+01,3.341032413994749817e+01,1.674184916309329196e-01
3.281102000000000203e+02,3.436278999999999684e+01,3.358977487087231850e+01,3.336307816701534534e+01,2.266967038569731585e-01
3.300387000000000057e+02,3.420987999999999829e+01,3.363628819548820559e+01,3.331583219408319962e+01,3.204560014050059635e-01
3.319671000000000163e+02,3.367258000000000351e+01,3.367906661654083678e+01,3.326858622115105391e+01,4.104803953897828706e-01
3.338956000000000017e+02,3.375061000000000178e+01,3.363484680287623974e+01,3.322134024821890819e+01,4.135065546573315487e-01
3.358240999999999872e+02,3.454334999999999667e+01,3.347340822817862716e+01,3.317409427528676247e+01,2.993139528918646874e-01
3.377524999999999977e+02,3.363541000000000025e+01,3.327859633867225853e+01,3.312684830235462385e+01,1.517480363176346714e-01
3.396809999999999832e+02,3.247746999999999673e+01,3.321423393592625928e+01,3.307960232942248524e+01,1.346316065037740373e-01
3.416095000000000255e+02,3.221562999999999732e+01,3.310987073226493749e+01,3.303235635649034663e+01,7.751437577459086015e-02
3.435378999999999792e+02,3.218207000000000306e+01,3.301118352075791051e+01,3.298511038355821512e+01,2.607313719969539534e-02
3.454664000000000215e+02,3.210190999999999661e+01,3.296139836874745299e+01,3.293760338872908022e+01,2.379498001837276888e-02
3.473949000000000069e+02,3.266561000000000092e+01,3.293521475645584928e+01,3.288985819090996898e+01,4.535656554588030076e-02
3.493233000000000175e+02,3.294568000000000296e+01,3.288982444262780547e+01,3.284165922039224483e+01,4.816522223556063409e-02
3.512518000000000029e+02,3.311057999999999879e+01,3.286750637136267983e+01,3.279297844555841834e+01,7.452792580426148561e-02
3.531802999999999884e+02,3.362120999999999782e+01,3.285525831644277162e+01,3.274429767072459185e+01,1.109606457181797623e-01
3.551086999999999989e+02,3.400569000000000131e+01,3.285780118339276612e+01,3.269561689589076536e+01,1.621842875020007568e-01
3.570371999999999844e+02,3.333702000000000254e+01,3.289919249100962872e+01,3.264693612105693887e+01,2.522563699526898517e-01
3.589657000000000266e+02,3.265538000000000096e+01,3.287770000980662388e+01,3.259825534622310528e+01,2.794446635835186044e-01
3.608940999999999804e+02,3.309631999999999863e+01,3.284249826086905699e+01,3.254957457138927168e+01,2.929236894797853097e-01
3.628226000000000226e+02,3.246947999999999723e+01,3.275376288983277107e+01,3.250089379655544519e+01,2.528690932773258737e-01
3.647511000000000081e+02,3.163065999999999889e+01,3.260348826086906371e+01,3.245221302172161870e+01,1.512752391474450064e-01
3.666795000000000186e+02,3.220157999999999987e+01,3.242504212814595377e+01,3.240353224688779221e+01,2.150988125816155616e-02
3.686080000000000041e+02,3.251655999999999835e+01,3.230881217718158638e+01,3.235463630669899970e+01,-4.582412951741332563e-02
3.705364999999999895e+02,3.239435999999999893e+01,3.217368181431790930e+01,3.230619946165173673e+01,-1.325176473338274263e-01
3.724649000000000001e+02,3.182158000000000087e+01,3.203215727361833842e+01,3.225909295406245292e+01,-2.269356804441144959e-01
3.743933999999999855e+02,3.158412999999999826e+01,3.196425968617145941e+01,3.221426970031269832e+01,-2.500100141412389121e-01
3.763219000000000278e+02,3.209868999999999772e+01,3.194849254004527239e+01,3.217196313650303097e+01,-2.234705964577585746e-01
3.782502999999999815e+02,3.263385999999999854e+01,3.186264559659970530e+01,3.213190458096654112e+01,-2.692589843668358185e-01
3.801788000000000238e+02,3.171552000000000149e+01,3.186346006211131510e+01,3.209455753200375483e+01,-2.310974698924397330e-01
3.821073000000000093e+02,3.172558000000000078e+01,3.200108384766214442e+01,3.205953548832272304e+01,-5.845164066057861874e-02
3.840357000000000198e+02,3.212136000000000280e+01,3.198601278849248430e+01,3.202509905834124737e+01,-3.908626984876306665e-02
3.859642000000000053e+02,3.207097999999999871e+01,3.187360984308548240e+01,3.199105403431398287e+01,-1.174441912285004719e-01
3.878926999999999907e+02,3.136452999999999847e+01,3.191729588427541842e+01,3.195818728349469495e+01,-4.089139921927653631e-02
3.898211000000000013e+02,3.163981000000000066e+01,3.191799401438329298e+01,3.192573002110846758e+01,-7.736006725174604526e-03
3.917495999999999867e+02,3.192285000000000039e+01,3.189410305982298510e+01,3.189335016510650789e+01,7.528947164772148426e-04
3.936780999999999722e+02,3.167692999999999870e+01,3.177512551160461030e+01,3.186096277721609837e+01,-8.583726561148807832e-02
3.956064999999999827e+02,3.188819000000000159e+01,3.163347539718813906e+01,3.182943588755818709e+01,-1.959604903700480349e-01
3.975350000000000250e+02,3.307547000000000281e+01,3.156825257927378914e+01,3.179987867323713857e+01,-2.316260939633494331e-01
3.994635000000000105e+02,3.177162999999999826e+01,3.155846321019892287e+01,3.177265164019336297e+01,-2.141884299944400993e-01
4.013919000000000210e+02,3.021510999999999925e+01,3.147710550506652893e+01,3.174757848680707184e+01,-2.704729817405429060e-01
4.033204000000000065e+02,3.159754999999999825e+01,3.142007236678604443e+01,3.172522893935852650e+01,-3.051565725724820766e-01
4.052488999999999919e+02,3.216241999999999734e+01,3.142310226217669822e+01,3.170595488158633302e+01,-2.828526194096347979e-01
4.071773000000000025e+02,3.026992999999999867e+01,3.143797718208516656e+01,3.168953006743613088e+01,-2.515528853509643170e-01
4.091057999999999879e+02,3.082707999999999871e+01,3.138182163452060180e+01,3.167563737487498088e+01,-2.938157403543790736e-01
4.110342999999999734e+02,3.098378999999999905e+01,3.131603750245130158e+01,3.166470532933735527e+01,-3.486678268860536889e-01
4.129626999999999839e+02,3.177805000000000035e+01,3.131305601176807230e+01,3.165729142697916032e+01,-3.442354152110880250e-01
4.148912000000000262e+02,3.195667999999999864e+01,3.139534188950589311e+01,3.165335072970383123e+01,-2.580088401979381274e-01
4.168197000000000116e+02,3.151839000000000013e+01,3.148532094802174441e+01,3.165200798370130286e+01,-1.666870356795584485e-01
4.187481000000000222e+02,3.156969000000000136e+01,3.163602599215381161e+01,3.165234006273001910e+01,-1.631407057620748446e-02
4.206766000000000076e+02,3.196923999999999921e+01,3.180715371363142197e+01,3.165283547991091595e+01,1.543182337205060151e-01
4.226050999999999931e+02,3.181844999999999857e+01,3.180907944099330109e+01,3.165333089709181280e+01,1.557485439014882900e-01
4.245335000000000036e+02,3.155905999999999878e+01,3.187033855835191076e+01,3.165382631427271320e+01,2.165122440791975578e-01
4.264619999999999891e+02,3.155874999999999986e+01,3.199106218045063699e+01,3.165432173145361716e+01,3.367404489970198256e-01
4.283904999999999745e+02,3.198089999999999833e+01,3.194985737495864697e+01,3.165481714863451757e+01,2.950402263241294065e-01
4.303188999999999851e+02,3.267857000000000056e+01,3.188617799934570485e+01,3.165531256581541442e+01,2.308654335302904315e-01
4.322474000000000274e+02,3.262973000000000212e+01,3.188923613272262259e+01,3.165580798299631127e+01,2.334281497263113181e-01
4.341759000000000128e+02,3.142773000000000039e+01,3.194272167048006139e+01,3.165630340017720101e+01,2.864182703028603783e-01
4.361043000000000234e+02,3.147684999999999889e+01,3.192245299771117928e+01,3.165679881735809431e+01,2.656541803530849677e-01
4.380328000000000088e+02,3.233653999999999940e+01,3.179220725073504639e+01,3.165729423453899116e+01,1.349130161960552243e-01
4.399612999999999943e+02,3.119658000000000087e+01,3.165989707093772765e+01,3.165778965171988801e+01,2.107419217839634484e-03
4.418897000000000048e+02,3.157401000000000124e+01,3.162664613272262670e+01,3.165826396194263026e+01,-3.161782922000355711e-02
4.438181999999999903e+02,3.180330999999999975e+01,3.164774371363141725e+01,3.165905522186219301e+01,-1.131150823077575751e-02
4.457466999999999757e+02,3.168831000000000131e+01,3.170121899967260859e+01,3.165995982756328075e+01,4.125917210932783519e-02
4.476750999999999863e+02,3.187147999999999826e+01,3.176056841124501418e+01,3.166045147837462892e+01,1.001169328703852557e-01
4.496035999999999717e+02,3.237053999999999832e+01,3.182835097417407511e+01,3.166094312918597353e+01,1.674078449881015729e-01
4.515321000000000140e+02,3.118565999999999860e+01,3.195548960444540754e+01,3.166143477999731459e+01,2.940548244480929441e-01
4.534605000000000246e+02,3.067843999999999838e+01,3.217629593658008957e+01,3.166192643080865921e+01,5.143695057714303687e-01
4.553890000000000100e+02,3.163960000000000150e+01,3.227970049689391629e+01,3.166241808162000382e+01,6.172824152739124770e-01
4.573174999999999955e+02,3.297142999999999802e+01,3.232270176201323864e+01,3.166290973243135554e+01,6.597920295818830994e-01
4.592459000000000060e+02,3.362673000000000201e+01,3.247763819875726199e+01,3.166340138324270370e+01,8.142368155145582875e-01
4.611743999999999915e+02,3.334870999999999697e+01,3.258321110166671275e+01,3.166389303405404831e+01,9.193180676126644357e-01
4.631028999999999769e+02,3.297619999999999862e+01,3.257339558679257152e+01,3.166438468486539293e+01,9.090109019271785940e-01
4.650312999999999874e+02,3.243240999999999730e+01,3.250586977443558823e+01,3.166487633567674109e+01,8.409934387588471338e-01
4.669597999999999729e+02,3.223664999999999736e+01,3.253290647270299729e+01,3.166536798648809636e+01,8.675384862149009280e-01
4.688883000000000152e+02,3.251693999999999818e+01,3.253411010787789337e+01,3.166585963729944453e+01,8.682504705784488408e-01
4.708167000000000257e+02,3.273094999999999999e+01,3.249758866949933633e+01,3.166635128811078914e+01,8.312373813885471918e-01
4.727452000000000112e+02,3.168300999999999945e+01,3.234792506047678273e+01,3.166684293892213375e+01,6.810821215546489782e-01
4.746736999999999966e+02,3.193152999999999864e+01,3.211127426936857887e+01,3.166733458973347837e+01,4.439396796351005037e-01
4.766021000000000072e+02,3.256483000000000061e+01,3.195613809741696798e+01,3.166782624054482298e+01,2.883118568721450004e-01
4.785305999999999926e+02,3.177888000000000090e+01,3.189616241909071803e+01,3.166831789135616759e+01,2.278445277345504394e-01
4.804590999999999781e+02,3.072877000000000081e+01,3.189727097417407720e+01,3.166880954216751221e+01,2.284614320065649906e-01
4.823874999999999886e+02,3.199146999999999963e+01,3.189165454069908279e+01,3.166930119297885327e+01,2.223533477202295217e-01
4.843159999999999741e+02,3.296596999999999866e+01,3.186358309578244530e+01,3.166979284379020143e+01,1.937902519922438671e-01
4.862445000000000164e+02,3.133194999999999908e+01,3.182756709709006060e+01,3.167028449460154604e+01,1.572826024885145557e-01
4.881729000000000269e+02,3.127981000000000122e+01,3.185894661654086235e+01,3.167077614541289421e+01,1.881704711279681419e-01
4.901014000000000124e+02,3.206531999999999982e+01,3.189153316116328796e+01,3.167126779622424237e+01,2.202653649390455826e-01
4.920298999999999978e+02,3.228864000000000090e+01,3.190236340961049066e+01,3.167175944703558699e+01,2.306039625749036759e-01
4.939583000000000084e+02,3.248290999999999684e+01,3.181267889833230100e+01,3.167225109784693515e+01,1.404278004853658501e-01
4.958867999999999938e+02,3.173519999999999897e+01,3.172289383131693796e+01,3.167274274865829042e+01,5.015108265864753889e-02
4.978152999999999793e+02,3.146713000000000093e+01,3.170962390323587243e+01,3.167273243312432029e+01,3.689147011155213818e-02
4.997436999999999898e+02,3.145786000000000016e+01,3.165761003595897805e+01,3.167235279717268526e+01,-1.474276121370721171e-02
5.016721999999999753e+02,3.167873000000000161e+01,3.166552459300376654e+01,3.167212091842989707e+01,-6.596325426130533742e-03
5.036007000000000176e+02,3.209105000000000274e+01,3.180604768224861445e+01,3.167195513158459264e+01,1.340925506640218146e-01
5.055291000000000281e+02,3.204355000000000331e+01,3.190666608041794561e+01,3.167178934473928109e+01,2.348767356786645166e-01
5.074576000000000136e+02,3.086970000000000169e+01,3.181523367113386769e+01,3.167162355789397310e+01,1.436101132398945879e-01
5.093860999999999990e+02,3.088719999999999999e+01,3.171624684537381711e+01,3.167145777104866511e+01,4.478907432515200071e-02
5.113145000000000095e+02,3.148667000000000016e+01,3.167043898659644441e+01,3.167084393026825495e+01,-4.049436718105425825e-04
5.132430000000000518e+02,3.203047999999999718e+01,3.164794971886188790e+01,3.167023414443722018e+01,-2.228442557533227841e-02
5.151715000000000373e+02,3.254064999999999941e+01,3.168211398823096303e+01,3.166984760643492436e+01,1.226638179603867229e-02
5.171000000000000227e+02,3.273154000000000252e+01,3.171559494606031748e+01,3.166933829244746690e+01,4.625665361285058452e-02
5.190284000000000333e+02,3.318990000000000151e+01,3.169943856489000211e+01,3.166836639146554333e+01,3.107217342445878216e-02
5.209569000000000187e+02,3.117308999999999841e+01,3.163542404707371958e+01,3.166708365420027249e+01,-3.165960712655291331e-02
5.228854000000000042e+02,2.967989000000000033e+01,3.160134133703776271e+01,3.166611809847351822e+01,-6.477676143575550327e-02
5.248138000000000147e+02,3.080123999999999995e+01,3.163535105590013785e+01,3.166580201310691933e+01,-3.045095720678148155e-02
5.267423000000000002e+02,3.184759000000000029e+01,3.170131020594917004e+01,3.166579098335772002e+01,3.551922259145001703e-02
5.286707999999999856e+02,3.175571000000000055e+01,3.168743771166999323e+01,3.166542468764049545e+01,2.201302402949778525e-02
5.305991999999999962e+02,3.181311000000000178e+01,3.163834410591648094e+01,3.166483814157046695e+01,-2.649403565398600335e-02
5.325276999999999816e+02,3.202960999999999814e+01,3.157337910101291811e+01,3.166451699615830861e+01,-9.113789514539050174e-02
5.344561999999999671e+02,3.188811000000000107e+01,3.153455500163403968e+01,3.166511026535400219e+01,-1.305552637199625110e-01
5.363845999999999776e+02,3.131909999999999883e+01,3.160573696632837937e+01,3.166701473857347082e+01,-6.127777224509145526e-02
5.383130999999999631e+02,3.161580000000000013e+01,3.181345214122213605e+01,3.166953365317294100e+01,1.439184880491950480e-01
5.402415999999999485e+02,3.230727000000000260e+01,3.213823158548495940e+01,3.167205256777241829e+01,4.661790177125411105e-01
5.421699999999999591e+02,3.234783999999999793e+01,3.222772565544246248e+01,3.167457148237189557e+01,5.531541730705669124e-01
