# 横轴数据,元数据,平滑后数据,基线,扣除基线后数据
9.862264999999999304e+01,4.463441999999999865e+01,4.464142860248445288e+01,3.930401224880581879e+01,5.337416353678634096e+00
1.005511000000000053e+02,4.361285999999999774e+01,4.377840710333143903e+01,3.925063873882607624e+01,4.527768364505362797e+00
1.024796000000000049e+02,4.290968999999999767e+01,4.303218333977235233e+01,3.919726522884632658e+01,3.834918110926025747e+00
1.044081000000000046e+02,4.262740999999999758e+01,4.239301206633183483e+01,3.914389171886656982e+01,3.249120347465265013e+00
1.063365000000000009e+02,4.225777999999999679e+01,4.185114803753454993e+01,3.909051820888681306e+01,2.760629828647736872e+00
1.082650000000000006e+02,4.115469000000000221e+01,4.139684600790513969e+01,3.903714469890704919e+01,2.359701308998090497e+00
1.101935000000000002e+02,4.081372000000000355e+01,4.102036073196826038e+01,3.898377118892728532e+01,2.036589543040975059e+00
1.121218999999999966e+02,4.073232999999999748e+01,4.071194696424856119e+01,3.893039767894752856e+01,1.781549285301032626e+00
1.140503999999999962e+02,4.069671000000000305e+01,4.046185945927069838e+01,3.887702416896777180e+01,1.584835290302926580e+00
1.159788999999999959e+02,4.059170999999999907e+01,4.026035297155932113e+01,3.882365065898801504e+01,1.436702312571306095e+00
1.179073000000000064e+02,4.025068999999999875e+01,4.009768225563848176e+01,3.877027714900825117e+01,1.327405106630230591e+00
1.198358000000000061e+02,3.950072000000000116e+01,3.998890757437009569e+01,3.871690363902848731e+01,1.272003935341608383e+00
1.217643000000000058e+02,3.944608000000000203e+01,3.980101319385359204e+01,3.866353012904873054e+01,1.137483064804861499e+00
1.236927000000000021e+02,3.983158999999999850e+01,3.958483848316382137e+01,3.861015661906897378e+01,9.746818640948475831e-01
1.256212000000000018e+02,3.960688999999999993e+01,3.948340321019880861e+01,3.855678310908921702e+01,9.266201011095915874e-01
1.275497000000000014e+02,3.917014999999999958e+01,3.936203832951883896e+01,3.850340959910946026e+01,8.586287304093787043e-01
1.294781000000000120e+02,3.901653999999999911e+01,3.913805288656363501e+01,3.845003608912969639e+01,6.880167974339386205e-01
1.314065999999999974e+02,3.959047000000000338e+01,3.892929991173526361e+01,3.839666257914993253e+01,5.326373325853310803e-01
1.333351000000000113e+02,4.015897999999999968e+01,3.884430110166661620e+01,3.834328906917017576e+01,5.010120324964404404e-01
1.352634999999999934e+02,3.895942999999999756e+01,3.885884492971499071e+01,3.828490537719283537e+01,5.739395525221553385e-01
1.371920000000000073e+02,3.768831999999999738e+01,3.886644141876369929e+01,3.822652168521549498e+01,6.399197335482043059e-01
1.391204999999999927e+02,3.762926999999999822e+01,3.882157104609289888e+01,3.816813799323816170e+01,6.534330528547371841e-01
1.410489000000000033e+02,3.842052000000000334e+01,3.869839944426223610e+01,3.810975430126082841e+01,5.886451430014076891e-01
1.429773999999999887e+02,3.897843000000000302e+01,3.856368535795952823e+01,3.805137060928348802e+01,5.123147486760402103e-01
1.449059000000000026e+02,3.779791000000000167e+01,3.844809205622693327e+01,3.799298691730615474e+01,4.551051389207785292e-01
